"","TgXBP1s /
WT","5xFAD /
WT","TgXBP1s-5xFAD /
5xFAD"
"Mecp2",0.330938614181211,-4.33242297018816,1.05819177702011
"Sh3bgrl",-0.723214850066153,-3.71411848309621,1.10718403538993
"Palm2",-1.40190209303868,-3.47713890444204,2.25932649803825
"H1f0",0.448775222159282,-3.46538200315441,0.704580705772882
"H3f3c",0.634316687389727,-3.38264111514487,0.901418421588385
"Lmna",0.45036892983755,-3.26924384059659,0.890493376538796
"H2afx",0.454140839650263,-3.22986655432701,1.23562959317924
"Hspg2",0.0528456036655106,-3.21752073034938,0.30992923500162
"Hist1h4a",0.560463720275356,-3.15402120242524,0.848788476018718
"Palm",1.54991789857804,-3.11585286085648,2.00656868120939
"Hnrnpa2b1",0.485199026234325,-3.01512658284482,1.41524529850441
"Gstm5",-1.66488394602891,-3.00709014047795,0.781955872055027
"Hsd11b1",-0.425009800205542,-2.92005996313563,1.17058491472163
"Lmnb1",0.803592427914307,-2.82047158010614,0.463189502550291
"Hnrnpa3",0.42524729718415,-2.81131001369141,1.72339162592769
"Ivd",-0.494463578762401,-2.8062994209638,1.12568702653594
"Cttn",-1.44120884631419,-2.6752503718723,3.16493708672012
"Hnrnpd",0.635147099752244,-2.63494852619251,1.68091253425587
"Actr3b",-1.43573639464422,-2.62408259512744,2.01701414208921
"Lmnb2",0.700023198275794,-2.58335560903242,1.14675607559932
"Sms",-0.476016156036099,-2.57968201539196,1.89928252679581
"Lama5",0.16176219126895,-2.5686885581129,-0.0698099217973627
"Etfa",-0.191108338210372,-2.54739245105535,1.24824433309946
"Lamb2",0.173005938124041,-2.54350082060243,0.117278974879432
"Tpm1",-0.992389244190428,-2.50218882815493,1.63834917951747
"Mapt",-1.08128653376609,-2.48717796438712,1.80453538342488
"Shroom2",-0.0619294786879021,-2.48242815648415,-0.0791347151777929
"Acyp2",0.125063565510324,-2.44820485844877,1.94207694733742
"Sncb",0.0428603003067458,-2.39407854060331,2.76245797621073
"Cltb",2.02143691812792,-2.38612957572541,2.35905243772839
"Aldh2",-0.0182367079577604,-2.38481057997358,1.72299325973558
"Eif4b",-0.0326954003363708,-2.38108414460302,1.39566508049813
"Srsf1",0.506456238706765,-2.33330821812743,1.95390163815741
"Tfam",0.126971333318042,-2.31877355324142,1.29794166848946
"Tmod2",-1.50601330465684,-2.30109639849191,2.39978477013225
"Pvalb",0.441588459040239,-2.25639052083836,3.10439257802503
"Slc2a1",0.465580275204775,-2.24530745534063,0.0924229827480112
"Rbmx",0.384363169067346,-2.20897281757069,1.2291226041208
"Ndufs4",-0.467504241373921,-2.20057422746474,1.96029482387048
"Cfl2",-0.119404993357111,-2.1999277007833,2.42233094055488
"H2afy",0.862646928481528,-2.1905702869506,0.262991507454025
"Dbnl",-0.296160888296291,-2.18535425694523,2.7309706337336
"Anp32a",0.323521919435041,-2.15400858790723,2.89540384626562
"Hnrnpdl",0.449907985116333,-2.14623107849041,1.04527191212114
"Ptms",0.19820296718374,-2.11489821701052,2.06098815593539
"Hnrnpab",0.539005342698003,-2.10238132223088,1.3211585612125
"Pacsin1",-0.399965922864307,-2.09561309010307,1.35581614224456
"Glod4",-0.31399849838762,-2.07984047076873,2.68235219365624
"Ddt",-0.0740184330057221,-2.05325088633192,1.75859278824344
"Lamc1",0.137907203464475,-2.05132642287277,0.127232066570085
"Ppp1r12a",-0.0299794379904843,-2.02669987699006,1.12176407538681
"Safb",0.379720624550999,-2.02355687551834,1.61995438929586
"Tceal5",1.18373138644534,-2.01004923886586,1.61293503885482
"Tpr",0.742206950914577,-1.99916562597197,1.83275601853631
"Cfl1",-0.365790511311468,-1.95446398724275,2.97630115254804
"Lasp1",0.153958415836109,-1.92561154449757,0.381174734537693
"Slc9a3r1",-0.0242946585464151,-1.9103034090127,1.80520381964449
"Map1a",0.433067331925044,-1.90926880383192,1.32949624800809
"Capzb",-0.873097868217871,-1.89165878920071,2.66365315078701
"C1qbp",-0.0532465253143281,-1.87966023577246,1.70213182570531
"Ptma",0.0181402541892781,-1.8782331389577,2.44007605976892
"Arpc3",-1.17364229895154,-1.87773914039997,1.93355300465764
"Add2",-0.76509894051097,-1.87042711564151,1.20086437821988
"Banf1",0.408026300797601,-1.8677159429739,1.62826771423847
"Tpm3",-0.701784696805035,-1.86060308855692,1.83436804688778
"Pdxp",-0.447927965884784,-1.85866697855399,1.37311977047643
"Lancl1",-0.294509064354458,-1.84343579437126,0.626373920231525
"Map1b",0.542615702777589,-1.83386518454585,1.14577128725765
