control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
wt	xbp	Q91WG7	Dgkg	-0.36952512907946156	8.483553721204028e-4	0.549577821130668	0.3446795960093105	-3.0714221856901602
wt	xbp	O08585	Clta	0.30740765562310995	9.274107965725419e-4	0.549577821130668	0.3446795960093105	3.0327278525154946
wt	xbp	Q62443	Nptx1	-0.35481540881170026	0.0026303029634151026	0.549577821130668	0.3446795960093105	-2.5799942257453923
wt	xbp	Q9Z1Q2	Abhd16a	0.24553694823217243	0.0042870879064211605	0.549577821130668	0.3446795960093105	2.3678376112217627
wt	xbp	Q62421	Sh3gl3	-0.35428756635365616	0.004466407747591862	0.549577821130668	0.3446795960093105	-2.3500416318141117
wt	xbp	Q8R071	Itpka	-0.3791593313088308	0.006760446416990204	0.549577821130668	0.3446795960093105	-2.17002462505923
wt	xbp	Q9EPR5	Sorcs2	0.2632792004114071	0.0077745828923803315	0.549577821130668	0.3446795960093105	2.109322901644764
wt	xbp	Q8VDP4	Ccar2	0.394357902140711	0.008173828438199401	0.549577821130668	0.3446795960093105	2.0875744820055404
wt	xbp	Q9ES97	Rtn3	-0.22203666652581466	0.008872391495291038	0.549577821130668	0.3446795960093105	-2.0519593031423313
wt	xbp	P23818	Gria1	-0.2679968504713728	0.009008876055422653	0.549577821130668	0.3446795960093105	-2.0453293880859396
wt	xbp	Q6IRU5	Cltb	0.28530140624520633	0.009518380938675535	0.549577821130668	0.3446795960093105	2.0214369181279186
wt	xbp	Q99J47	Dhrs7b	0.2191015582602585	0.00989818643134529	0.549577821130668	0.3446795960093105	2.0044443705549684
wt	xbp	Q9CRD2	Emc2	0.1986638334893253	0.01028966122212941	0.549577821130668	0.3446795960093105	1.9875989237586373
wt	xbp	Q9D710	Tmx2	0.20024792985427328	0.010417721628571259	0.549577821130668	0.3446795960093105	1.982227251509832
wt	xbp	Q9D7X8	Ggct	-0.30293045341209873	0.010418612612712099	0.549577821130668	0.3446795960093105	-1.9821901097082477
wt	xbp	Q61481	Pde1a	-0.255281889285874	0.011003385672212299	0.549577821130668	0.3446795960093105	-1.9584736646124108
